,info,title,advantage,drawback,opinion,promotion,welfaresalary,worklifebalance,culture,executives,total,date,region,workingstatus,department
42,생산/제조 | 현직원 | 서울 | 2019/4/7,자기 사업을 위해 일을 빠르게 배우고 싶다면 추천 합니다 사원이든 주임이든 대리든 적극성만 있다면 하고 싶은 일이나 PJ를 진행할 수 있습니다,주도적으로 일을 할 경우 많은 것들을 경험할 수 있다 톱니바퀴처럼 주어진 일을 한다기 보다는 해결해야하는 분야 안에서 본인이 하고 싶은대로 해볼 수 있다 물론 컨펌을 받긴 하지만 규모가 큰 회사 중 가장 많은 주도성을 가질 수 있는 곳이라 생각한다,인사이동은 다른 기업도 그럴 수 있지만 잦다 인재풀을 돌리는 것이 썩지 않게 하는 방법이라 믿는다 페이퍼워크가 꽤 있다 했던 일 지금 일 앞으로 할 일에 대한 설득을 위한 보고들이 많다 업무량도 많다 그냥 많다 브랜드바이브랜드라 요새는 빠르게 퇴근 하는 브랜드도 있는 것 같다,,3.0,3.0,2.0,3.0,1.0,2.4,2019-04-07 00:00:00, 서울 , 현직원 ,생산/제조 
43,경영/기획/컨설팅 | 전직원 | 서울 | 2019/4/7,경력이직의 경우 건너건너건너라도 기업 내 지인이 있다면 꼭 이야기를 들어보고 입사여부를 결정할 것,술마시는 회식이 없다는 것은 다른 회사의 회식 접대문화에 염증이 난 사람에게는 메리트가 될 수 있을 것 같다 사원대리급이라도 업무범위가 넓고 해볼 수 있는 일이 많은 편이다,종교 프로젝트중심 등 기업문화가 아주 독특하다 그래서 회식이 없는 대신 기업문화관련 이벤트가 아주 많다 출근시간이 아주 빠르고 업무강도가 높은 편이다,,2.0,2.0,1.0,1.0,2.0,1.6,2019-04-07 00:00:00, 서울 , 전직원 ,경영/기획/컨설팅 
44,영업/제휴 | 전직원 | 서울 | 2019/3/31,복지와 환경이 잘 갖춰진 곳 패션업계에서는 비교적 좋은 환경,배움과 성장하기에 좋은 곳 패션유통등 연계되어 있어 계열사 협업이 가능하다,승진제도 기준을 알 수 없다 성과를 올려도 진급이 안되는 경우가 있으며 진급에 대한 뚜렷한 기준이 없다,성과에 대한 확실한 보상이 있었으면 좋겠다,2.0,4.0,3.0,4.0,3.0,3.2,2019-03-31 00:00:00, 서울 , 전직원 ,영업/제휴 
45,경영/기획/컨설팅 | 전직원 | 서울 | 2019/3/27,동종업계중 상위권 연봉을 받을수 있었음 조직의 유연성이 커 의견을 낼수있는 기회가 많았음,다양한 내부교육 기회 제공 조직의 유연성이 커 개인의 의견을 낼 기회가 많았음,조직의 운영구조가 별도로 없어 대부분의 것을 알아서 해야 했었음,,3.0,3.0,2.0,2.0,2.0,2.4,2019-03-27 00:00:00, 서울 , 전직원 ,경영/기획/컨설팅 
46,경영/기획/컨설팅 | 현직원 | 서울 | 2019/3/25,헬조선 패션업 사관학교 여기서 살아남으면 타사 가서도 생존 가능,일개 주임 대리가 타사 과차장급 의사결정 가능함 하고 싶은 비즈니스 구상 컨펌 가능 체계가 없으나 혼자서 다 해내야 하기 때문에 회사돈으로 개인사업 체험 가능,직원 복지에 회사가 관심 없음 연봉상승 쥐꼬리만한 수준 능력있는 이들은 미리 이직하거나 창업해서 나가고 부족한 이들만 남는 구조,,3.0,2.0,3.0,2.0,2.0,2.4,2019-03-25 00:00:00, 서울 , 현직원 ,경영/기획/컨설팅 
47,마케팅/시장조사 | 현직원 | 서울 | 2019/3/11,공정함 기준 없는 회사 특히 따를 리더가 없음 회장님 한마디에 벌벌,부서이동이 자유로운편 다양한 부서이동으로 경험에 폭을 넓힐수 있음,워라벨보장안됨 월급루팡 많음 기준 없음 인사팀이 경영자 비서임,인사제도 개편 취업규칙 준수 월급 인상몇년째 동결,2.0,2.0,1.0,2.0,1.0,1.6,2019-03-11 00:00:00, 서울 , 현직원 ,마케팅/시장조사 
48,생산/제조 | 현직원 | 서울 | 2019/3/10,경험을 쌓고 개인 성장을 하기에 좋은 회사이나 반대로 개인이 책임져야 하는 부분이 많은 회사,브랜드 직무마다 다를 수는 있지만 바텀업에서 가져오는 전략이 근거만 명확하다면 받아주는 편 즉 도전정신이 있고 진취적인 사람에게는 다양한 업무를 경험하면서 성장할 수 있음 동종업계에서는 연봉이 높은편이직시 연봉 맞춰가면 잘한 정도,장점의 반대 급부일 수 있는데 업무가 명확하게 정리 되지 않은 면이 있다 야근이 많을 수 있다,위에서 방향을 제시하거나 책임지는 부분이 명확해야 한다 직원이 방향을 찾고 책임져야하는 부분이 많다,3.0,3.0,1.0,2.0,2.0,2.2,2019-03-10 00:00:00, 서울 , 현직원 ,생산/제조 
49,유통/무역 | 전직원 | 서울 | 2019/3/10,시스템이 잘 갖춰져 있으나 사람에 대한 소중함을 모르는 비 인간적이고 비 기독교 적인 위선만 가득한 회사,시스템이 잘 갖춰져 있고 나름 워라벨도 최근에는 좋아졌음,헛 똑똑한 인사제도 승진이 잘 안되고 대리에서 다 만남 대기업 병에 걸려있어서 속도가 안닌ㅁ,,1.0,4.0,3.0,1.0,2.0,2.2,2019-03-10 00:00:00, 서울 , 전직원 ,유통/무역 
50,생산/제조 | 전직원 | 충남 | 2019/3/4,아르바이트지만 직원처럼일함 빨리빨리움직여야함 잔특근도있음,윗사람눈치볼일없고 아침에 국민체조를함 박스가무겁긴하지만 쉬운업무임 밥이맛있다,무거운박스가 많이 무거움 하지만 그건 옆사람한테 같이 들어달라하면됨 겨울엔 무진장 추움,겨울에 많이 추우니 덜 추울수있는 방안을 제시해 주시면 좋겠습니다,3.0,3.0,3.0,3.0,3.0,3.0,2019-03-04 00:00:00, 충남 , 전직원 ,생산/제조 
51,영업/제휴 | 전직원 | 서울 | 2019/3/1,직원 헌신으로 성장한 회사라고 보여집니다 성장은 빨리 할 수 있습니다,다른 회사와 비교 불가 여름휴가2주연차포함의 매력이 큽니다,대리에서 과장 되기가 하늘에서 별따기입니다 승진 적체가 심해요,쪼기보단 믿어주는 경영을 해주시면 직원 근속 기간이 길어질 것 같습니다,1.0,3.0,2.0,2.0,1.0,1.8,2019-03-01 00:00:00, 서울 , 전직원 ,영업/제휴 
52,디자인 | 전직원 | 서울 | 2019/2/26,급여는 낮았지만 많은 것을 배우고 좋은 사람들과 함께 할 수 있었던 기업,비지니스를 이해하는 기본을 잘 배울수 있는 계기였음 실물 비지니스를 배우고 싶은 분들에게는 추천,낮았던 연봉 지금은 올랐다고 하지만 시간을 많이 소모하는 행사가 많았음,성장을 위해 어떤사람들이 실제로 수고하고 실천하는지 잘 구분하여 보상할 필요가 있습니다,5.0,3.0,4.0,4.0,3.0,3.8,2019-02-26 00:00:00, 서울 , 전직원 ,디자인 
53,영업/제휴 | 전직원 | 서울 | 2019/2/16,이랜드는 인사발령이 너무 잦고 수시로 보직변경하여 전문성을 키우기어렵다 하지만 다양한경험과 지식의 폭을 넓히는것에는 강점임,다양한보직경험 크리스찬기업문화 직원들이 좋음 사내문화는좋은곳,시스템없음 성과를 성과로보지않으며 계속 성과내라고함 일중심회사,직원들이 근무할수록 경험과 노하우가 축척되는데 근무연한이 쌓인직원들을 내보내려하는것은 어리석은것,1.0,2.0,2.0,4.0,1.0,2.0,2019-02-16 00:00:00, 서울 , 전직원 ,영업/제휴 
54,서비스/고객지원 | 전직원 | 대구 | 2019/2/16,개인의 능력을 발휘할 기회 많이 제공되는 편이다,연차는 생각보다 눈치없이 사용 가능하고 공휴일 근무에 대해서는 확실하게 지켜지는 편이다,시즌오프의 경우 야근이 자주 있으며 식대가 나오지 않는 것이 아쉽다,조금 더 현장에 있는 직원들을 위한 복지가 마려되었으면 좋겠다,3.0,4.0,4.0,3.0,2.0,3.2,2019-02-16 00:00:00, 대구 , 전직원 ,서비스/고객지원 
55,마케팅/시장조사 | 현직원 | 서울 | 2019/2/14,고객에게는 가성비있는 상품을 제공하는 좋은 기업이지만 직원에게도 좋은지는 의문이다,처음부터 끝까지 다 잘하게될 수 있음 젊은 연차에 많은 일을 경험할 수 있음 술을 안먹음 담배를 피우는 사람이 적어서 담배타임이 거의 존재하지 않음 여성에 대한 차별이나 성희롱 등은 지금껏 한번도 경험한적은 없음 여성이 다니기 좋은 기업인것은 확실함,전문성이 없어서 스스로 배워서 성장해야함 투자보다는 현상 유지 비용절감에 관심이 큼 시스템보다는 맨파워로 돌아가는 회사,,3.0,3.0,3.0,3.0,3.0,3.0,2019-02-14 00:00:00, 서울 , 현직원 ,마케팅/시장조사 
56,마케팅/시장조사 | 현직원 | 서울 | 2019/2/9,인당생산성과 과업이 정말 너무 많지만 쉴때 쉴수있는 회사,연차 사용이 자유롭고 연봉수준이 낮지는 않아서 눈치 안보면서 쉴수는 있음 회사라서 정치적인 부분이 없진않지만 없어도 다닐 수있는 회사,폐쇠적인 문화로 인해서 다양성이 인정되지 않고 회사 자체가 굉장히 시야가 좁으며 복지수준이 낮고 한사람이 커버해야하는 업무영역 자체가 너무 넓어서 다양한 경험은 하지만 깊지않을 수있다 비용대비 효율관점이 커서 절대 투자는 없음,,3.0,2.0,4.0,3.0,2.0,2.8,2019-02-09 00:00:00, 서울 , 현직원 ,마케팅/시장조사 
57,영업/제휴 | 현직원 | 서울 | 2019/2/8,본인이 하고자 하는 열정을 보여준다면 학력무관하게 성장할 수 있음,판매직에 있는 소형점포에서는 연차 충분히 소진 가능함 1분 단위 근태체크로 수당 차감없음,카톡으로 전달하는 사항들이 많음 프로모션이 갑작스럽게 공유되어 현장직에서는 시간 촉받하게 움직여야 하는경우 발생,프로모션이 있으면 미리 선공지하여 현장에서 충분하게 움직일 시간이 필요함,3.0,3.0,3.0,3.0,3.0,3.0,2019-02-08 00:00:00, 서울 , 현직원 ,영업/제휴 
58,디자인 | 전직원 | 서울 | 2019/2/3,신입사원부터 재직하기를 추천함 공채 카르텔 심함 요즘은 바뀌어 가는 듯 하지만 고립된 문화,독서권장분위기 라인과 시류를 잘 맞으면 나이에 비해 빠른 승진 영업관련 부서는 성과 좋으면 승진 매우 빠름,어려운 경영상황을 타계하고자 조직 변화를 많이 고민하고 있음 그러나 그 와중에 오래된 조직은 과장급 젊은 사람들조차 마인드 올드함 상상 그들만의 고유한 업무 방식과 승진 체계가 있음 이런 조직은 다음은 어느 직위에 어느 누가 승진할 것인지 그냥 다 보임 성과중심이라고 말하는데 숫자로 검증되지 않는 부서는 그들만의 리그로 운영됨 디자인 경력 비추,경영진 교체가 잦아서 짧은 시간안에 성과를 검증해야되는 것이 안타깝다 이에 따라 아래 조직도 변화가 잦다 젊은 관리자 혹은 경영진조차 라인 만드는 것이 기본 문화이다,2.0,2.0,2.0,3.0,2.0,2.2,2019-02-03 00:00:00, 서울 , 전직원 ,디자인 
59,서비스/고객지원 | 전직원 | 서울 | 2019/1/24,의류계통에 관심과 흥미가 있으면 충분히 매력적인 직무이다,서비스직 직종에 경력 쌓기가 좋고 진입장벽이 낮은 장점이 있다,업무가 비효율적이며 서비스업의 특성상 주말 근무라 필수이기때문에 워라벨은 기대하기 힘들다,직원들의 불만을 해결해주고 효율적으로 업무 하달을 해줬으면 좋겠음,2.0,2.0,2.0,3.0,2.0,2.2,2019-01-24 00:00:00, 서울 , 전직원 ,서비스/고객지원 
60,마케팅/시장조사 | 현직원 | 서울 | 2019/1/23,패션에 대한 커리어 쌓을 수 있고 부딪히면서 배울 수 있음,팀에 따라서 다르긴 하나 오히려 연차나 휴가 자유롭게 쓸 수 있음,답답함 군대문화 명확한 조직도와 보고라인 책임이 없다,,1.0,3.0,3.0,2.0,2.0,2.2,2019-01-23 00:00:00, 서울 , 현직원 ,마케팅/시장조사 
61,디자인 | 전직원 | 서울 | 2019/1/21,이렇게 일을 하니 성장하나봄 요즘엔 어떤지 모르겟지만 발전가능성은 있어보임,역에 가까워서 출퇴근이 편하고 식당과 값싼 커피가 기억에 남음 빡세서 일배우기는 좋을듯 낮은 연차때 다니는게 좋을것같다,야근이 많다 일랜드라는 이유가 있음 고인물이 썩는다고 오래된 사람들이 많음,사업만 여기저기 키우지 마시고 현재 사업들에 집중해서 구시대적인 마인드를 좀 버리셨음,3.0,3.0,1.0,3.0,3.0,2.6,2019-01-21 00:00:00, 서울 , 전직원 ,디자인 
62,서비스/고객지원 | 전직원 | 서울 | 2019/1/13,일많은 회사에요 별로에요 인턴들어가면 빼먹을때까지 쓰라네요 상사가,연차 눈치 있어요 기독교회사에요 사람쓰러지는거 봤어요 알바생 무시해요,퇴근시간은 당연히 늦어요 휴무말도 일할때 많아요 전화와요,딱히 바라는게 없네요 이미 퇴사해서 감사합니다,2.0,2.0,2.0,2.0,2.0,2.0,2019-01-13 00:00:00, 서울 , 전직원 ,서비스/고객지원 
63,경영/기획/컨설팅 | 현직원 | 서울 | 2019/1/13,성장 하기에는 좋은 환경이며 좋은 사람들과 일할 수 있는 기회가 많음,개인의 성장에 있어 최고의 환경임 많은 기회와 직접 성과 낼 수 있는 다양한 업무를 할 수 있음,성장의 기회가 큰 만큼 많은 고민과 진정성을 가지고 임해야함,앞으로도 잘 이끌어 주시고 기업의 문화가 지금 처럼 서로 돕고 상생하는 문화로 계속 남아 있을 수 있게 도움을 주시면 좋을 듯 합니다,5.0,5.0,5.0,5.0,5.0,5.0,2019-01-13 00:00:00, 서울 , 현직원 ,경영/기획/컨설팅 
