,info,title,advantage,drawback,opinion,promotion,welfaresalary,worklifebalance,culture,executives,total,date,region,workingstatus,department
92,디자인 | 전직원 | 경기 | 2019/3/25,융통성있는 친구들과 즐겁게 그리고 아주 아주 일했던 곳이에요,It선두기업 이미지와 복지가 좋았어요 사람들이 재밌어요 새로운 기회가 많아요 실력이 빨리 성장해요,새로운 시도와 변화에 늘 적응할 준비가 되어 있어야해요,영향력있는 큰 기업이니만큼 사회전체가치를 생각하는 건강한 문화를 만들어 갔으면 합니다,4.0,4.0,4.0,4.0,4.0,4.0,2019-03-25 00:00:00, 경기 , 전직원 ,디자인 
93,IT/인터넷 | 전직원 | 경기 | 2019/3/18,좋은 동료 전문가들과 함께 일 할수 있는 좋은 회사 유연한 조직문화 존경할만한 상사가 있어서 많이 배울수 있음,국내 1위 플랫폼 서비스로 전문성이 매우 깊고 이와 관련된 매우 좋은 인재들이 곳곳에 있음 회사가 주는 프라이드가 있기 떄문에 경력으로는 매우 좋은 회사,이미 전문화된 기능화 조직 그리고 풍부한 인재풀로 좋은 기회를 잡기가 쉽지 않음 오래 기다려야 기회를 받을수 있고 또 그 기회를 받더라도 더 큰 도전이 계속 되기 때문에 야망을 가지고 오래 다니기에는 녹녹치 않은 회사,네이버 출신이라는 자부심을 계속해서 갖을수 있도록 더욱 회사를 발전시켜주시기 바랍니다 좋은 인재를 더 많이 모셔오고 기술로 승부하는 아시아 넘버 원 회사가 되기를 바랍니다,3.0,5.0,4.0,4.0,4.0,4.0,2019-03-18 00:00:00, 경기 , 전직원 ,IT/인터넷 
94,IT/인터넷 | 현직원 | 경기 | 2019/3/17,좋은 기업 문화에서 만족하면서 일할수있습니다,수평문화 연차를 전결로 사용할수 있습니다 자료로운 의사소통이 가능합니다,부서마다 케바케이지만 업무 강도가 조금 있을수 있습니다,성과를 낼수 있는 목표와 비전을 확실히 제시해줄수 있엇으면 합니다,5.0,5.0,5.0,5.0,5.0,5.0,2019-03-17 00:00:00, 경기 , 현직원 ,IT/인터넷 
95,금융/재무 | 전직원 | 경기 | 2019/3/11,사람이 우선인 회사는 아니지만 성장과 동시에 충분한 보상을 부여하는 회사,사회적으로 인정받는 직장으로 발돋움 하고 있고 높은 보상 수준을 제시하고 있음 개인의 성장과 향후 커리어 개발에 매우 도움이 됨,비효율적으로 사업부와 개발에만 인력이 집중되어 반대로 백오피스 역할이나 활용방법이 매우 후짐,현 경영진 구조로는 글로벌 피어 대비 턴어라운드를 만들어 내는게 불가능해 보임,4.0,4.0,1.0,3.0,1.0,2.6,2019-03-11 00:00:00, 경기 , 전직원 ,금융/재무 
96,IT/인터넷 | 현직원 | 경기 | 2019/3/9,자본금 부족한 회사에서 일하다 왔다면 천국 제조업에서 왔어도 천국 하지만 회사가 전반적으로 보수적임 스타트업 같은 분위기는 기대하면 안 됨,출퇴근 시간대 자유로움 연차 사용이 자유로운 편 지하식당 풀무원이라 괜찮음 먹거리 문제는 고민 없어서 좋음 유능한 동료들이 많음 해외 국가들과 관련된 일 하는 팀은 어학지원 됨 해외 컨퍼런스 갈 때 숙소이동편 지원 잘 됨,수평적인 회사를 만들기 위해 직급제를 없앴으나 이에따라 직급 상승에 의한 연봉 상승 권한 증대 등을 기대 할 수 없게 됨 정리가 좀 안 되는 느낌 근속년수 높은 사람들에 대한 처우가 좋지 않음 안식휴가는 없고 법정 최소기준만 준수하는 휴가제도만 있음 사인 연봉 적은 대신 인센 많이 준다고 소문 난 회사인데 정작 주변을 둘러보면 인센 많이 받는 사람은 극소수 사내 어린이집은 당첨 불가능하다고 보면 됨,,2.0,4.0,3.0,3.0,2.0,2.8,2019-03-09 00:00:00, 경기 , 현직원 ,IT/인터넷 
97,IT/인터넷 | 전직원 | 경기 | 2019/3/8,경력으로도 일하기도 아주 좋은 회사,연차 자유롭고 전체적으로 시간 자유롭게 쓰는 분위기가 좋습니다 출퇴근 시간도 자유,회의가 점점 많아지는 느낌이 들고 출퇴근시간은 자유지만 일에 책임을 많이 져야 합니다,회사가 점점 커지면서 정치적 이슈에 많이 휘말리는 경향이 있습니다,5.0,5.0,5.0,5.0,5.0,5.0,2019-03-08 00:00:00, 경기 , 전직원 ,IT/인터넷 
98,IT/인터넷 | 전직원 | 경기 | 2019/3/6,개발자가 대우받으면서 일할 수 있고 개발 경험을 제대로 할 수 있는 회사이다,개발자가 전문성을 기를 수 있을정도로 개발 경험을 제대로 할 수 있고 개발 환경이 너무 좋다,정자역에서도 거리가 꽤 먼 편이고 차가 있어도 주차장 시설이 미흡한 것 같다,직원들의 복지에 신경을 더 써주셨으면 합니다,4.0,4.0,3.0,4.0,3.0,3.6,2019-03-06 00:00:00, 경기 , 전직원 ,IT/인터넷 
99,IT/인터넷 | 전직원 | 경기 | 2019/3/4,업무에 몰입할 수 있도록 최대한 지원해주는 곳이다 업무효율이 좋음,조중석식 지원해주고 음식 상당히 맛있음 쉴수있는 곳이 많음,인사이동이 잦고 회사 내 정치가 눈에 띄게 있음 나이 차별도 좀 있음,업무 효율을 중요시하는 것은 좋지만 나이에 대한 제한이 좀 큰편,4.0,5.0,4.0,4.0,3.0,4.0,2019-03-04 00:00:00, 경기 , 전직원 ,IT/인터넷 
100,IT/인터넷 | 현직원 | 경기 | 2019/3/4,네이버라는 이름만 보고 오면 후회 실력자들이 많아 개인의 발전에는 도움이 되나 회사 시스템은 구림 복지가 그냥 중소기업 수준임,실력자들이 많고 회사에서 인정 받으면 그에 맞는 대우를 해줌,직원들은 소모품으로 생각함 직원 복지에는 관심이 없음,IT는 사람이 전부라는걸 잊지 마시길,2.0,3.0,4.0,2.0,1.0,2.4,2019-03-04 00:00:00, 경기 , 현직원 ,IT/인터넷 
101,IT/인터넷 | 현직원 | 경기 | 2019/2/28,실력있는 사람들이 모여서 일하는 곳 대단위 트래픽을 접할 수 있는 몇 안되는 한국회사,전반적으로 개개인의 실력이 높아서 배울 점이 많음 업계 전체에 비해서 평균 연봉이 높은 편 팀 간의 이동이 상대적으로 쉬워서 다양한 일을 접해볼 수 있음,전반적으로 공무원 분위기가 강하게 느껴져서 성취감을 느끼고 싶어하는 사람에게는 아쉬운 점이 많음 하지만 팀마다 각자 분위기가 극렬하게 다름,순수 개발자 출신의 경영진이 상대적으로 적은 편이라 전반적으로 기술에 대한 이해도가 떨어지는 점이 좀 아쉬운데 이 점 어떻게 안될까요,4.0,5.0,5.0,3.0,3.0,4.0,2019-02-28 00:00:00, 경기 , 현직원 ,IT/인터넷 
